elapsed	rss_kb	fds	cpu_s	log_bytes
10329	530752	8	1493.50	17371136
10389	530384	8	1503.99	17371136
10449	528896	8	1515.31	17371136
10509	528912	8	1526.54	17371136
10569	517696	8	1537.16	17371136
10629	518784	8	1547.96	17371136
10689	504752	8	1558.41	17371136
10749	508304	8	1569.26	17371136
10809	510608	8	1579.86	17371136
11049	515552	8	1590.07	18419712
11109	520256	8	1600.26	18419712
11169	524864	8	1610.33	18419712
11229	527216	8	1620.43	18419712
11289	527456	8	1630.58	18419712
11349	527600	8	1640.79	18419712
11410	527648	8	1651.11	18419712
11470	527760	8	1661.11	18419712
11530	527744	8	1671.15	18419712
11590	527776	8	1681.38	18419712
11650	527776	8	1691.47	18419712
11710	527776	8	1701.55	18419712
11770	527776	8	1711.61	19468288
11830	527776	8	1721.75	19468288
11890	527792	8	1731.91	19468288
11950	527808	8	1741.95	19468288
12010	527808	8	1751.90	19468288
12070	527808	8	1761.91	19468288
12130	527792	8	1771.88	19468288
12190	527840	8	1781.98	19468288
12250	527776	8	1791.89	19468288
12310	527776	8	1802.08	19468288
12370	527776	8	1812.21	19468288
12430	527776	8	1822.17	20516864
12490	527808	8	1831.99	20516864
12550	527728	8	1842.03	20516864
12611	527728	8	1852.23	20516864
12671	527744	8	1862.59	20516864
12731	527776	8	1872.65	20516864
12791	527776	8	1882.86	20516864
12851	527776	8	1892.91	20516864
12911	527792	8	1903.13	20516864
12971	527792	8	1913.29	20516864
13031	527808	8	1923.26	20516864
13091	527808	8	1933.25	20516864
13151	527808	8	1943.14	21565440
13211	527808	8	1953.10	21565440
13271	527808	8	1963.14	21565440
13331	527808	8	1973.13	21565440
13391	527792	8	1983.05	21565440
13451	527792	8	1993.44	21565440
13511	527792	8	2003.38	21565440
13571	527792	8	2013.53	21565440
13631	527792	8	2023.52	21565440
13691	527792	8	2033.49	21565440
13751	527632	8	2043.42	21565440
13812	527360	8	2053.37	22614016
13872	526464	8	2063.53	22614016
13932	526256	8	2073.40	22614016
13992	526368	8	2083.18	22614016
14052	526448	8	2093.43	22614016
14112	524912	8	2103.53	22614016
14172	525808	8	2113.74	22614016
14232	525936	8	2123.77	22614016
14292	525984	8	2133.66	22614016
14352	524592	8	2143.80	22614016
14412	524416	8	2153.82	22614016
14472	524608	8	2163.90	23662592
14532	525728	8	2173.77	23662592
14592	526272	8	2184.25	23662592
14652	526304	8	2194.48	23662592
